date,Nike,Adidas
2024-12-29,-1.8067513816229592,-2.102537234014523
2025-01-05,4.307417827019229,0.8889217282272597
2025-01-12,-2.5784129643385825,-2.119619309530954
2025-01-19,-6.464243755696387,-4.1281603472891675
2025-01-26,-5.350074547054199,-4.136701385047385
2025-02-02,-7.23590533841201,-4.145242422805598
2025-02-09,-12.121736129769822,-8.153783460563812
2025-02-16,-14.007566921127633,-6.162324498322029
2025-02-23,-10.893397712485438,-5.1708655360802425
2025-03-02,-8.77922850384325,-4.179406573838456
2025-03-09,-9.665059295201061,-3.187947611596673
2025-03-16,-4.550890086558873,-0.19648864935488675
2025-03-23,-5.4367208779166845,1.7949703128868997
2025-03-30,-3.322551669274489,2.7864292751286825
2025-04-06,-2.2083824606323006,3.777888237370469
2025-04-13,-2.094213251990112,2.769347199612252
2025-04-20,-2.980044043347924,3.7608061618540383
2025-04-27,-2.8658748347057283,1.7522651240958247
2025-05-04,-4.75170562606354,-3.2562759136623924
2025-05-11,-6.637536417421352,-4.264816951420606
2025-05-18,-6.523367208779163,-4.27335798917882
2025-05-25,-7.409198000136975,-4.281899026937037
2025-06-01,-8.29502879149478,-6.29044006469525
2025-06-08,-8.180859582852591,-8.298981102453464
2025-06-15,-12.066690374210403,-7.307522140211681
2025-06-22,-10.952521165568214,-7.316063177969895
2025-06-29,-7.838351956926026,-6.324604215728108
2025-07-06,1.2758172517161697,-1.3331452534863253
2025-07-13,6.389986460358358,-1.3416862912445389
2025-07-20,0.5041556690005464,-3.3502273290027524
2025-07-27,-0.3816751223572652,-0.35876836676096957
2025-08-03,-0.2675059137150768,-3.367309404519183
2025-08-10,-1.1533367050728813,-4.375850442277397
2025-08-17,3.960832503569307,-1.3843914800356139
2025-08-24,5.075001712211495,4.607067482206173
2025-08-31,3.189170920853684,6.598526444447959
2025-09-07,4.303340129495872,3.589985406689742
2025-09-14,-1.5824906618619323,1.5814443689315283
2025-09-21,-1.468321453219744,1.5729033311733147
2025-09-28,2.6458477554224444,2.5643622934150976
2025-10-05,1.7600169640646328,5.555821255656884
2025-10-12,-0.1258138272931788,3.5472802178986704
2025-10-19,-3.0116446186509833,0.5387391801404533
2025-10-26,-1.897475410008795,-1.4698018576177603
2025-11-02,-1.7833062013666066,-0.47834289537597385
2025-11-09,4.330863007275582,2.513116066865809
2025-11-16,15.44503221591777,5.504575029107595
2025-11-23,22.559201424559966,10.496033991349382
2025-11-30,14.673370633202154,2.4874929535911647
2025-12-07,9.787539841844342,2.478951915832951
2025-12-14,10.90170905048653,1.4704108780747376
2025-12-21,7.015878259128719,0.46186984031652045
2025-12-28,0.1300474677709076,-2.546671197441693
2026-01-04,11.244216676413103,2.4447877648000897
2026-01-11,5.3583858850552915,-1.5637532729581238
2026-01-18,2.47255509369748,-1.5722943107163374
2026-01-25,-2.413275697660332,-2.5808353484745545
2026-02-01,-2.2991064890181434,-3.589376386232768
2026-02-08,-3.184937280375948,-1.5979174239909817
2026-02-15,-1.0707680717337595,-4.606458461749199
2026-02-22,-3.956598863091571,-2.6149994995074124
2026-03-01,-3.842429654449383,0.37645946273437403
2026-03-08,-0.7282604458071944,1.367918424976157
2026-03-15,-0.6140912371649989,4.359377387217943
2026-03-22,1.5000779714771895,2.3508363494597297
2026-03-29,0.6142471801193778,4.342295311701513
2026-04-05,2.7284163887615662,3.333754273943299
2026-04-12,0.8425855974037546,3.3252132361850855
2026-04-19,1.95675480604595,1.3166721984268683
2026-04-26,1.0709240146881385,4.308131160668655
2026-05-03,1.1850932233303269,-1.7004098770895588
2026-05-10,-2.7007375680274848,-0.708950914847776
2026-05-17,-0.5865683593852964,-1.7174919526059895
2026-05-24,-3.472399150743101,-5.726032990364203
